key,en-US,ru-RU
title.front,"SETTINGS","НАСТРОЙКИ"
title.back,"SETTINGS","НАСТРОЙКИ"
title.navbar,"SETTINGS","НАСТРОЙКИ"
main.sound.front,"Sound","Громкость"
main.sound.back,"SOUND","ГРОМКОСТЬ"
main.brightness.front,"Brightness","Яркость"
main.brightness.back,"BRIGHTNESS","ЯРКОСТЬ"
main.debug.apps.front,"Debug Apps","Отладка"
main.debug.apps.back,"DEBUG APPS","ОТЛАДКА"
main.language.front,"Language","Язык"
main.language.back,"LANGUAGE","ЯЗЫК"
brightness.mode,"Mode","Режим"
brightness.mode.auto,"Auto","Авто"
brightness.mode.manual,"Manual","Ручной"
brightness.level,"Level","Уровень"
